"id","operator_id","operation_id","date","bundle_number","style_id","floor_id","line_id","complete_piece","total_time","break_time","off_standard_time"
281,340,42664,"2022-04-05",281,7654,26,91,20,1389,40,0
283,340,42664,"2022-04-05",283,7654,26,91,20,1155,0,0
284,340,42664,"2022-04-05",284,7654,26,91,20,1134,43,0
285,340,42664,"2022-04-05",285,7654,26,91,20,1311,46,0
287,340,42664,"2022-04-05",287,7654,26,91,20,1099,0,0
288,340,42664,"2022-04-05",288,7654,26,91,20,1175,48,0
289,340,42664,"2022-04-05",289,7654,26,91,20,1461,36,0
290,340,42664,"2022-04-05",290,7654,26,91,20,1437,0,0
291,340,42664,"2022-04-05",291,7654,26,91,20,1764,79,0
292,340,42664,"2022-04-05",292,7654,26,91,20,1420,46,0
293,340,42664,"2022-04-05",293,7654,26,91,15,1144,0,0
294,8246,43605,"2022-04-05",294,7654,26,91,20,700,17,0
295,340,42664,"2022-04-05",295,7654,26,91,20,1371,29,0
296,8246,43605,"2022-04-05",296,7654,26,91,20,687,17,0
297,8246,43605,"2022-04-05",297,7654,26,91,20,754,0,0
298,340,42664,"2022-04-05",298,7654,26,91,20,1092,0,0
299,8246,43605,"2022-04-05",299,7654,26,91,20,1004,70,0
300,8246,43605,"2022-04-05",300,7654,26,91,20,741,0,0
301,340,42664,"2022-04-05",301,7654,26,91,15,749,0,0
303,8246,43605,"2022-04-05",303,7654,26,91,15,569,40,0
304,5564,34188,"2022-04-05",304,7654,24,136,6,3,0,0
305,340,42664,"2022-04-05",305,7654,26,91,20,1353,31,0
307,4,226,"2022-04-05",307,7654,1,1,5,119,0,4
309,5802,36347,"2022-04-05",309,7654,24,133,9,5,0,0
313,2845,28968,"2022-04-06",313,7654,24,133,12,5,0,0
314,2845,28968,"2022-04-06",314,7654,24,133,12,18,0,0
315,2845,28968,"2022-04-06",315,7654,24,133,12,8,0,0
316,2845,28968,"2022-04-06",316,7654,24,133,12,7,0,0
317,8246,43605,"2022-04-06",317,7654,26,91,20,707,8,0
318,340,42664,"2022-04-06",318,7654,26,91,20,1025,0,0
319,2845,28968,"2022-04-06",319,7654,24,133,12,8,0,0
320,8246,43605,"2022-04-06",320,7654,26,91,20,720,0,0
321,340,42664,"2022-04-06",321,7654,26,91,20,1133,13,0
322,8246,43605,"2022-04-06",322,7654,26,91,20,682,0,0
323,2845,28968,"2022-04-06",323,7654,24,133,12,6,0,0
324,2845,28968,"2022-04-06",324,7654,24,133,12,10,0,0
325,5802,36347,"2022-04-06",325,7654,24,133,9,5,0,0
326,5802,36347,"2022-04-06",326,7654,24,133,12,82,0,0
327,5802,36347,"2022-04-06",327,7654,24,133,9,54,0,0
328,2845,28968,"2022-04-06",328,7654,24,133,9,6,0,0
329,340,42664,"2022-04-06",329,7654,26,91,20,1150,0,0
331,5802,36347,"2022-04-06",331,7654,24,133,12,4,0,0
332,5802,36347,"2022-04-06",332,7654,24,133,12,6,0,0
333,2845,28968,"2022-04-06",333,7654,24,133,9,9,0,0
334,5802,36347,"2022-04-06",334,7654,24,133,12,4,0,0
336,5802,36347,"2022-04-06",336,7654,24,133,12,5,0,0
338,5802,36347,"2022-04-06",338,7654,24,133,12,3,0,0
342,5802,36347,"2022-04-06",342,8044,24,133,12,4,0,0
343,5802,36347,"2022-04-06",343,8044,24,133,12,4,0,0
345,5802,36347,"2022-04-06",345,8044,24,133,12,9,0,0
346,5802,36347,"2022-04-06",346,8044,24,133,12,6,0,0
347,2845,28968,"2022-04-06",347,8044,24,133,12,5,0,0
349,8246,43605,"2022-04-06",349,8044,26,91,15,547,0,0
350,5802,36360,"2022-04-06",350,8044,24,133,12,4,0,0
353,5802,36360,"2022-04-06",353,8044,24,133,12,6,0,0
354,2845,28968,"2022-04-06",354,8044,24,133,12,5,0,0
355,5802,36360,"2022-04-06",355,8044,24,133,9,4,0,0
356,340,42664,"2022-04-06",356,8044,26,91,15,726,0,0
357,5802,36360,"2022-04-06",357,8044,24,133,9,3,0,0
358,5802,36360,"2022-04-06",358,8044,24,133,12,5,0,0
359,2845,28968,"2022-04-06",359,8044,24,133,12,5,0,0
360,2845,28968,"2022-04-06",360,8044,24,133,9,4,0,0
361,5802,36360,"2022-04-06",361,8044,24,133,12,5,0,0
362,5802,36360,"2022-04-06",362,8044,24,133,9,4,0,0
363,340,42664,"2022-04-06",363,8044,26,91,20,987,0,0
364,2845,28968,"2022-04-06",364,8044,24,133,12,5,0,0
